"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
5,248050287E0;-3,356250048E0;8,756250381E0;-4,871250153E1;4,960689609E1
5,268181168E0;-3,356250048E0;8,643750191E0;-4,865625381E1;4,953190756E1
5,288185420E0;-3,600000143E0;8,756250381E0;-4,835625076E1;4,927432303E1
5,308182056E0;-3,712500095E0;8,887500763E0;-4,835625076E1;4,930615899E1
5,328186336E0;-3,843750238E0;8,887500763E0;-4,818750381E1;4,915076408E1
5,348190631E0;-3,956250191E0;9,112500191E0;-4,830000305E1;4,931105221E1
5,368187248E0;-4,256250381E0;9,243750572E0;-4,818750381E1;4,925036158E1
5,388087519E0;-3,956250191E0;9,356250763E0;-4,841250229E1;4,946677392E1
5,408084155E0;-3,956250191E0;9,356250763E0;-4,830000305E1;4,935667775E1
5,428080796E0;-4,012500286E0;9,600000381E0;-4,830000305E1;4,940799997E1
5,448085182E0;-4,256250381E0;9,600000381E0;-4,818750381E1;4,931846711E1
5,468185818E0;-4,256250381E0;9,843750000E0;-4,824375153E1;4,942139863E1
5,488182449E0;-4,200000286E0;1,014375019E1;-4,800000000E1;4,923957423E1
5,508186715E0;-4,200000286E0;1,020000076E1;-4,805625153E1;4,930601717E1
5,528183337E0;-3,956250191E0;1,020000076E1;-4,781250000E1;4,904821187E1
5,548187599E0;-4,256250381E0;1,038750076E1;-4,745625305E1;4,876588760E1
5,568191826E0;-4,200000286E0;1,020000076E1;-4,728750229E1;4,855705809E1
5,588188448E0;-4,256250381E0;1,001250076E1;-4,728750229E1;4,852291945E1
5,608192700E0;-4,012500286E0;1,001250076E1;-4,728750229E1;4,850214637E1
5,628189351E0;-4,012500286E0;9,787500381E0;-4,715625000E1;4,832812055E1
5,648185958E0;-4,012500286E0;9,656250000E0;-4,710000229E1;4,824679822E1
5,668190233E0;-3,900000095E0;9,600000381E0;-4,668750000E1;4,782355763E1
5,688186879E0;-3,843750238E0;9,487500191E0;-4,661250305E1;4,772329113E1
5,708183544E0;-3,656250238E0;9,412500381E0;-4,668750000E1;4,776699682E1
5,728187815E0;-3,787500143E0;9,712500572E0;-4,661250305E1;4,776403737E1
5,748184460E0;-3,712500095E0;9,787500381E0;-4,644375229E1;4,760882216E1
5,768188722E0;-3,600000143E0;9,843750000E0;-4,638750076E1;4,755690951E1
5,788192997E0;-3,243750095E0;9,843750000E0;-4,614375305E1;4,729341682E1
5,808189624E0;-3,112500191E0;9,956250191E0;-4,614375305E1;4,730814434E1
5,828193870E0;-3,000000000E0;9,843750000E0;-4,620000076E1;4,733222459E1
5,848190501E0;-3,243750095E0;9,656250000E0;-4,601250076E1;4,712658809E1
5,868187124E0;-3,243750095E0;9,600000381E0;-4,601250076E1;4,711509470E1
5,888191380E0;-2,887500048E0;9,412500381E0;-4,601250076E1;4,705404389E1
5,908188002E0;-2,887500048E0;9,300000191E0;-4,608750153E1;4,710504704E1
5,928184632E0;-2,943750143E0;9,300000191E0;-4,631250000E1;4,732867339E1
5,948188866E0;-3,000000000E0;9,300000191E0;-4,625625229E1;4,727717081E1
5,968185507E0;-3,000000000E0;9,300000191E0;-4,625625229E1;4,727717081E1
5,988182085E0;-3,243750095E0;9,543750763E0;-4,625625229E1;4,734179939E1
6,008186332E0;-3,000000000E0;9,712500572E0;-4,638750076E1;4,748823954E1
6,028182958E0;-3,112500191E0;9,900000572E0;-4,631250000E1;4,746098740E1
6,048187234E0;-3,243750095E0;9,956250191E0;-4,625625229E1;4,742667718E1
6,068191490E0;-3,187500238E0;1,008750057E1;-4,608750153E1;4,728610390E1
6,088188136E0;-3,112500191E0;1,014375019E1;-4,560000229E1;4,681819661E1
6,108192393E0;-3,056250095E0;1,031250000E1;-4,584375000E1;4,708861577E1
6,128189033E0;-3,243750095E0;1,031250000E1;-4,560000229E1;4,686394968E1
6,148185665E0;-3,112500191E0;1,025625038E1;-4,541250229E1;4,666019389E1
6,168189950E0;-3,000000000E0;1,020000076E1;-4,560000229E1;4,682307363E1
6,188186595E0;-2,887500048E0;1,020000076E1;-4,554375076E1;4,676121155E1
6,208183227E0;-2,756250143E0;1,014375019E1;-4,554375076E1;4,674105066E1
6,228187483E0;-2,643750191E0;1,014375019E1;-4,560000229E1;4,678937157E1
6,248184081E0;-2,756250143E0;1,014375019E1;-4,578750229E1;4,697859032E1
6,268188347E0;-2,643750191E0;1,014375019E1;-4,571250153E1;4,689901789E1
6,288192595E0;-2,456250191E0;1,008750057E1;-4,584375000E1;4,700468324E1
6,308189297E0;-2,643750191E0;9,900000572E0;-4,578750229E1;4,692008943E1
6,328193573E0;-2,643750191E0;1,008750057E1;-4,590000153E1;4,706970600E1
6,348190204E0;-2,587500095E0;9,787500381E0;-4,584375000E1;4,694826658E1
6,368186830E0;-2,643750191E0;9,843750000E0;-4,584375000E1;4,696315836E1
6,388191072E0;-2,700000048E0;9,900000572E0;-4,584375000E1;4,697818031E1
6,408187699E0;-2,212500095E0;1,008750057E1;-4,601250076E1;4,715721632E1
6,428184354E0;-2,400000095E0;9,900000572E0;-4,601250076E1;4,712664043E1
